mouse_id,sex,pgm,liver_wt,gallstone_presence,gallstone_score,gallstone_count,gallstone_weight,gallstone_sandy,gallstone_solid,ChMC_agg,ChMC_ind,chol,HDL_log,nonHDL,D1Mit3,D1Mit21,D1Mit440,D1Mit102,D1Mit111,D1Mit17,D2Mit312,D2Mit79,D2Mit296,D2Mit7,D2Mit182,D2Mit94,D2Mit340,D2Mit285,D2Mit49,D2Mit113,D3Mit203,D3Mit51,D3Mit57,D3Mit147,D4Mit18,D4Mit110,D4Mit17,D4Mit155,D4Mit308,D4Mit251,D4Mit42,D5Mit387,D5Mit201,D5Mit95,D5Mit143,D6Mit86,D6Mit46,D6Mit123,D6Mit102,D6Mit36,D6Mit62,D6Mit111,D6Mit14,D6Mit373,D7Mit267,D7Mit345,D7Mit83,D7Mit323,D7Mit259,D8Mit155,D8Mit292,D8Mit40,D8Mit88,D9Mit58,D9Mit90,D9Mit129,D9Mit307,D9Mit24,D9Mit52,D10Mit123,D10Mit16,D10Mit184,D10Mit31,D10Mit264,D10Mit96,D10Mit14,D11Mit74,D11Mit189,D11Mit4,D11Mit178,D11Mit212,D11Mit67,D11Mit214,D12Mit182,D12Mit60,D12Mit227,D12Mit7,D13Mit302,D13Mit16,D13Mit19,D13Mit13,D13Mit128,D13Mit171,D14Mit98,D14Mit5,D14Mit7,D14Mit131,D15Mit13,D15Mit115,D15Mit71,D15Mit79,D16Mit32,D16Mit101,D16Mit125,D16Mit139,D16Mit86,D17Mit19,D17Mit51,D17Mit39,D17Mit123,D18Mit64,D18Mit12,D18Mit208,D18Mit48,D19Mit68,D19Mit30,D19Mit88,D19Mit26,DXMit81,DXMit1,DXMit8,DXMit149,DXMit121
97,1,1,1.3226,0,1,0,0,0,0,2,0,268,1.839,199,H,H,C,C,H,H,C,C,C,C,C,C,C,C,C,H,H,H,D,D,H,H,H,H,H,D,D,H,D,H,C,H,H,C,C,C,H,H,H,H,-,C,C,C,H,D,H,H,H,D,D,D,D,D,H,H,D,D,D,D,H,-,D,D,H,H,H,H,C,C,H,H,D,C,C,C,-,H,H,H,D,D,D,C,C,-,C,C,C,C,C,C,D,D,-,H,H,H,H,D,C,C,C,C,C,D,D,D,D
98,1,1,1.4719,1,2,7,0.65,4,3,3,0,223,1.982,127,H,H,H,H,H,C,H,H,H,H,H,H,C,C,C,H,H,H,H,H,H,H,H,H,H,H,C,H,H,H,H,C,C,H,D,D,D,D,D,D,D,H,H,H,H,H,H,D,D,D,D,D,D,D,D,C,C,H,H,H,H,H,H,H,H,H,H,D,D,H,H,D,H,C,C,C,C,C,C,D,D,D,D,H,H,H,H,H,H,H,H,H,D,H,C,C,C,H,H,H,C,H,H,D,C,C,C,C,C
99,1,1,1.6856,1,2,0,0,1,0,3,1,389,1.845,319,D,D,D,D,D,H,D,D,-,D,H,-,H,H,H,D,-,D,D,H,D,D,D,H,H,H,C,D,D,-,H,-,C,C,C,C,C,C,C,C,H,C,C,C,H,H,H,C,H,C,C,-,C,C,C,D,H,H,H,H,-,-,D,H,H,H,H,C,C,H,-,D,H,H,H,-,-,H,-,H,H,-,H,H,H,C,C,-,-,H,H,H,H,D,-,D,D,D,D,H,H,H,H,H,C,D,D,D,C
100,1,1,1.6717,1,2,0,0,4,0,1,4,144,1.914,62,D,C,C,C,C,C,H,H,-,H,H,H,H,H,C,C,C,C,H,H,H,H,H,H,D,D,D,D,H,C,C,H,H,H,C,C,C,C,H,H,D,D,H,C,-,H,D,H,H,D,D,D,D,D,D,D,D,D,-,C,-,C,H,H,H,H,H,H,H,H,H,H,H,H,-,-,D,D,D,D,D,-,D,H,H,H,C,H,-,H,H,H,C,C,H,H,D,D,D,D,D,D,D,D,D,D,D,D,D
101,1,1,1.4557,1,2,7,0.47,3,3,0,0,210,1.806,146,H,D,H,H,H,H,H,H,H,H,H,H,D,D,D,D,H,H,H,H,D,D,D,D,D,D,D,C,C,C,H,H,C,C,C,C,C,C,C,C,H,H,H,D,H,H,H,H,H,H,H,H,H,H,H,H,-,H,C,C,C,C,D,D,D,D,D,D,D,H,H,H,H,C,C,D,D,D,D,H,H,C,H,H,D,D,H,H,H,H,H,H,C,C,H,D,C,C,H,H,D,H,H,H,C,C,C,C,C
102,1,1,0.9877,1,2,0,0,2,0,2,2,131,1.447,103,H,H,H,H,H,D,H,H,H,H,H,H,H,H,H,H,H,D,D,H,D,D,D,D,D,D,D,D,D,-,D,H,H,H,H,H,H,H,H,H,H,H,H,H,D,C,H,-,H,D,H,H,H,H,H,C,C,C,C,C,C,C,D,H,H,H,H,C,C,H,C,C,C,H,H,H,C,C,H,D,D,D,D,H,H,H,H,H,H,H,H,H,H,H,C,C,D,D,D,H,D,D,H,H,C,C,C,D,D
103,1,1,1.1507,0,0,0,0,0,0,0,0,190,1.991,92,H,H,H,C,H,H,C,C,C,C,C,C,C,C,C,H,H,D,D,H,H,H,H,H,H,D,D,H,H,H,C,C,C,C,H,H,H,H,D,D,H,H,H,H,H,H,H,C,C,H,H,H,H,H,H,H,H,D,D,D,D,D,H,H,D,D,D,D,D,H,D,D,D,H,H,H,H,D,D,D,D,D,H,H,H,H,D,H,H,C,C,C,D,D,D,D,H,H,C,C,D,D,D,D,C,C,C,C,C
104,1,1,1.4776,1,2,1,0.1,4,1,0,0,167,1.708,116,H,H,H,C,C,H,D,H,-,H,H,H,H,H,H,H,C,D,D,H,H,H,H,H,H,H,H,C,D,H,H,C,H,D,D,D,H,H,H,H,C,C,C,H,D,H,H,-,H,C,C,C,C,H,H,H,H,H,H,H,H,H,H,C,C,C,H,H,H,D,D,D,H,H,H,H,H,D,D,H,D,D,H,C,D,D,D,H,H,H,H,D,H,H,H,H,H,H,C,C,C,-,H,H,C,C,C,C,C
105,1,1,1.876,1,2,0,0,2,0,2,0,182,1.778,123,H,H,H,C,C,C,-,H,D,D,D,H,H,H,H,C,H,H,H,H,D,D,H,H,H,H,H,H,H,H,H,C,C,C,C,C,C,C,C,C,H,H,C,C,H,D,D,H,C,C,H,H,H,H,D,H,H,D,D,D,H,H,D,H,H,H,H,H,H,D,D,H,H,D,H,H,H,H,C,D,D,D,D,D,H,H,C,D,D,D,H,H,D,D,D,D,H,H,D,D,H,H,H,H,D,D,D,D,D
106,1,1,1.8745,1,2,5,0.48,1,3,1,1,341,2.025,235,H,C,C,C,C,C,C,C,H,H,D,D,H,H,H,H,H,D,D,D,H,H,H,D,D,D,D,C,C,C,C,C,D,D,D,D,D,D,D,D,H,H,H,C,C,D,D,D,D,C,C,C,H,H,H,D,D,D,D,H,H,H,D,H,H,H,H,H,H,C,C,-,D,H,-,H,H,D,D,H,C,C,C,D,H,H,H,C,C,C,C,C,C,H,D,D,H,D,D,D,D,H,H,H,D,D,D,D,D
107,1,1,1.766,0,0,0,0,0,0,0,0,183,1.839,114,D,H,H,H,H,H,D,D,-,D,H,H,H,H,H,H,H,D,D,D,C,C,C,C,C,C,C,D,D,D,D,H,H,C,C,C,C,C,C,C,C,C,C,C,H,D,D,D,H,C,C,H,D,D,D,H,H,H,H,H,H,D,C,C,C,C,C,C,C,D,D,H,H,H,H,H,H,D,D,C,C,C,C,H,H,H,H,D,D,H,H,H,H,H,H,H,D,C,C,C,H,H,H,H,C,D,D,D,D
108,1,1,1.7736,1,2,9,0.84,4,3,2,4,211,1.724,159,H,-,H,H,D,D,D,D,D,H,H,H,H,H,H,H,C,C,C,C,C,H,H,H,H,H,H,D,D,H,H,C,C,C,H,H,H,H,H,H,D,D,D,H,H,C,C,C,C,D,D,D,H,H,H,D,D,D,D,H,H,H,D,D,H,C,C,C,C,C,C,C,H,C,C,C,C,H,D,H,H,H,H,H,H,H,D,C,C,C,C,C,C,C,C,C,D,C,H,H,H,H,H,H,D,D,D,C,C
109,1,1,1.2656,1,2,0,0,4,0,4,1,240,1.813,175,D,C,C,C,D,D,H,H,C,C,C,C,H,H,H,H,H,H,H,D,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,H,H,H,H,C,H,H,C,C,C,C,C,C,H,H,H,H,H,H,C,C,H,H,H,C,-,D,D,H,H,H,H,C,H,D,D,D,D,D,D,-,D,D,C,C,H,H,H,H,H,H,C,C,C,C,C,H,H,-,H,D,C,C,C,H,H,H,H,C,C,C,C,C
110,1,1,1.8923,1,2,0,0,4,0,4,1,518,2.064,403,H,H,H,C,C,C,H,H,H,H,H,H,C,C,H,H,D,D,H,H,H,H,H,H,H,H,H,H,D,D,D,H,C,C,C,C,H,D,D,D,D,H,H,H,H,C,H,H,D,C,C,C,C,C,C,H,H,H,D,D,D,D,H,H,H,H,H,H,D,C,H,H,H,H,H,H,H,C,C,D,D,H,H,D,D,D,D,C,C,C,H,H,H,C,C,C,H,H,C,H,D,D,H,H,D,D,D,D,C
111,1,1,2.2965,0,1,0,0,0,0,1,0,348,1.929,263,C,C,C,H,H,H,C,C,C,C,H,-,-,D,D,H,-,C,-,-,D,D,D,D,D,D,D,D,C,-,H,H,H,D,D,D,D,D,D,D,H,H,H,H,D,D,H,H,D,C,C,C,C,C,C,H,H,C,H,C,-,H,C,H,H,H,H,H,H,H,-,-,H,C,C,-,C,C,-,D,D,-,H,H,H,-,D,D,H,D,D,D,H,-,D,H,-,D,D,H,H,H,H,C,D,C,C,C,C
112,1,1,1.7377,1,2,0,0,2,0,4,2,268,1.724,216,H,H,D,D,D,D,H,H,H,H,D,D,D,D,D,C,H,H,D,D,D,D,D,D,D,H,H,D,H,D,D,C,C,H,H,H,H,H,H,H,H,D,D,D,D,D,H,H,D,D,D,H,H,H,H,C,C,C,-,C,-,H,C,C,C,C,C,C,C,H,-,D,D,H,-,-,H,D,D,H,C,-,H,H,C,C,H,H,H,D,D,D,C,C,C,C,H,H,H,C,H,C,C,C,C,C,C,C,C
113,1,1,1.112,1,2,0,0,3,0,4,2,245,1.892,167,H,H,H,H,H,H,H,D,D,D,D,-,H,H,H,C,C,H,H,H,C,C,H,D,D,D,D,C,C,-,H,H,H,H,H,H,H,H,H,H,D,D,D,H,H,C,C,H,H,C,C,-,C,C,C,H,H,H,H,H,H,H,D,D,H,D,D,D,D,H,H,H,H,C,C,C,C,H,H,C,C,C,C,H,D,D,D,H,-,D,D,D,H,H,H,H,H,H,H,H,C,C,C,C,C,D,D,D,D
114,1,1,3.2405,1,2,3,0.58,4,4,0,1,265,1.944,178,H,C,C,C,H,D,H,H,H,H,H,H,D,D,D,D,C,C,C,C,D,D,D,D,D,D,D,D,D,D,H,H,H,H,H,H,H,C,C,C,H,H,H,C,C,C,H,C,H,H,H,H,H,H,H,H,H,H,H,D,D,D,C,C,C,C,C,C,C,D,D,D,D,H,H,D,D,D,D,H,H,C,C,H,-,H,H,H,C,C,C,C,C,C,C,C,D,H,D,D,H,D,H,H,D,D,D,D,D
115,1,1,2.8346,1,2,0,0,2,0,2,3,200,1.924,116,H,H,H,H,H,H,H,H,H,H,C,C,D,D,D,D,C,C,C,C,H,D,D,D,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,D,D,D,D,H,D,H,H,H,C,C,C,C,H,H,D,H,H,H,H,H,H,H,H,H,H,H,H,H,D,D,-,H,H,-,H,H,H,C,C,H,H,H,H,H,-,H,H,H,H,C,H,C,C,C,D,-,H,H,H,H,H,H,H,D,D,D,-,D
116,1,1,2.1412,1,2,1,-,3,1,4,2,157,1.826,91,H,H,H,C,C,H,D,D,D,D,D,D,D,D,D,D,C,C,C,H,H,H,H,H,H,H,H,H,D,D,D,C,H,H,H,H,H,C,C,C,H,H,H,H,H,D,D,H,H,D,D,D,D,D,H,H,H,H,H,H,H,H,C,D,D,-,D,H,H,H,H,H,H,D,D,H,H,H,H,C,C,H,H,C,C,C,C,C,C,C,C,C,D,H,C,C,H,H,H,H,H,H,D,D,C,C,C,C,C
117,1,1,1.8962,0,2,7,0.61,0,4,0,2,215,1.875,140,H,H,H,D,D,D,C,C,C,H,H,H,H,H,H,C,H,H,H,H,D,D,D,H,H,H,H,D,D,-,H,D,H,H,H,H,H,H,H,H,H,H,C,-,D,H,H,H,C,C,C,C,C,C,H,C,C,C,C,C,C,C,C,C,H,H,H,H,H,D,H,H,C,D,D,H,H,H,H,D,D,D,H,H,H,H,H,H,H,H,H,D,D,H,H,H,C,C,H,H,H,C,C,C,D,C,C,C,C
118,1,1,1.2263,0,1,0,0,0,0,3,2,213,1.748,157,C,C,C,C,H,D,C,C,C,C,C,C,H,H,H,D,H,H,D,H,H,H,H,H,-,H,D,C,H,H,H,C,C,C,-,H,H,H,H,H,C,C,C,H,H,H,C,C,C,H,H,H,C,C,C,D,D,D,H,C,C,C,H,D,C,C,C,C,C,C,H,H,H,H,H,H,H,C,H,H,H,H,H,H,H,H,C,C,C,H,H,H,H,H,H,D,H,H,H,H,C,H,H,H,C,C,C,C,D
119,1,1,0.9729,-,-,-,-,-,-,-,-,171,1.763,113,H,D,D,D,-,-,C,C,C,C,C,C,H,H,H,H,C,H,H,H,H,C,-,C,-,C,H,D,C,C,D,H,H,H,H,H,H,H,C,C,D,D,D,H,H,H,H,C,C,D,D,D,H,H,H,H,H,H,H,H,H,H,D,C,H,H,H,H,H,C,H,H,H,H,H,D,D,H,H,H,D,D,H,C,C,H,D,H,H,H,C,C,H,H,H,H,C,C,H,H,D,D,D,D,C,C,C,C,C
120,1,1,1.3368,1,2,0,0,4,0,4,1,258,1.785,197,H,D,D,D,D,D,C,C,C,C,H,H,C,C,C,C,D,D,D,D,C,C,C,C,-,D,D,D,D,D,-,C,C,C,H,H,H,H,D,D,D,D,D,D,H,H,H,D,D,H,H,H,H,H,-,H,H,H,H,H,H,H,D,D,D,D,D,D,D,H,H,C,H,H,H,C,C,C,C,H,H,H,H,H,H,H,H,D,D,D,D,D,H,H,H,H,D,C,C,C,H,H,H,H,C,C,D,D,D
121,1,1,1.4539,1,2,0,0,3,0,4,1,159,1.785,98,H,H,H,H,C,C,D,D,D,D,H,H,H,H,H,H,D,D,D,C,D,-,D,H,-,H,H,H,H,H,H,D,-,H,H,H,H,H,H,-,H,H,H,H,D,-,D,H,C,D,D,D,H,H,C,H,H,H,H,H,H,H,D,D,D,D,D,D,D,H,H,H,H,C,C,C,C,C,C,D,H,H,H,H,H,H,H,D,H,H,H,H,H,H,H,C,H,H,H,D,C,C,C,H,D,D,D,D,D
122,1,1,1.5834,0,0,0,0,0,0,0,0,196,1.959,105,H,H,H,H,H,C,C,C,C,C,C,C,H,H,H,H,H,C,D,D,C,C,C,C,C,C,C,D,H,H,C,H,D,D,D,D,D,D,D,D,H,H,H,H,H,H,H,H,C,C,C,C,C,H,H,C,C,C,H,H,H,H,H,H,H,H,H,H,H,D,D,D,D,H,C,C,C,C,H,D,D,H,C,H,D,D,D,D,H,H,H,C,C,C,C,C,C,C,C,H,D,D,D,D,C,C,C,C,C
123,1,1,1.073,1,2,2,0.23,3,1,3,3,325,1.079,313,C,C,C,-,H,H,H,H,H,H,H,H,C,C,C,C,C,C,C,H,D,D,D,D,D,H,H,C,C,H,D,D,D,D,H,H,H,H,C,C,H,D,D,D,H,D,H,H,D,H,D,D,H,H,H,H,H,H,H,D,D,D,C,C,C,C,C,C,C,H,H,H,H,C,C,C,C,C,H,C,C,C,C,D,H,H,C,C,C,C,C,H,C,C,H,H,D,D,D,D,C,C,C,H,D,C,C,C,C
124,1,1,1.5067,1,2,4,0.29,3,2,1,1,454,1.875,379,D,H,C,C,H,H,D,D,H,H,H,H,H,H,H,H,H,D,D,H,D,-,C,H,H,H,D,H,H,H,H,H,C,C,C,C,C,D,D,-,H,D,D,D,H,H,D,D,D,H,C,C,C,C,C,C,C,C,-,C,-,H,D,D,H,H,H,H,H,H,-,H,H,C,C,-,C,C,C,D,H,-,C,C,H,H,H,H,H,H,C,H,H,C,C,C,H,D,H,H,H,D,D,D,C,C,C,C,C
125,1,1,1.297,0,0,0,0,0,0,0,0,252,2.025,146,D,C,C,C,H,D,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,H,H,H,H,H,H,D,D,H,C,H,D,D,D,D,D,D,D,D,H,H,H,C,C,C,C,C,C,C,C,C,C,C,H,C,C,C,H,H,H,H,H,H,H,H,H,H,H,C,C,H,H,C,C,C,C,C,C,H,H,C,C,H,H,H,C,D,H,H,H,H,H,D,H,H,H,C,H,H,D,H,H,H,D,D,D,D,D
126,1,1,1.5682,1,2,0,0,3,0,3,4,196,1.954,106,H,H,H,H,H,H,D,D,D,D,H,H,H,H,H,H,D,H,H,H,C,C,C,H,H,H,H,H,H,H,C,H,H,C,C,C,C,C,C,C,-,C,C,C,H,H,H,H,D,H,H,H,H,H,H,H,C,H,H,H,H,H,C,D,H,H,H,H,H,D,D,D,H,D,-,D,D,H,H,H,D,D,H,H,C,C,C,D,D,D,D,H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
127,1,1,1.2316,0,0,0,0,0,0,0,0,182,1.978,88,H,D,D,D,D,D,C,C,-,H,H,H,H,H,H,D,D,D,D,H,H,-,H,C,C,C,C,H,H,-,D,H,D,D,D,D,D,D,D,D,C,H,H,H,H,D,H,H,D,C,H,H,H,H,D,D,D,H,H,C,C,C,H,C,C,C,C,C,C,H,H,H,H,C,C,C,C,H,H,C,C,C,C,D,H,H,H,H,H,H,H,H,H,H,D,D,H,C,C,C,C,H,H,H,C,C,C,D,D
128,1,1,1.5566,1,2,0,0,3,0,4,0,187,1.643,143,H,D,D,D,D,D,H,C,C,C,H,H,D,H,H,H,H,H,D,D,C,H,D,D,D,D,D,H,H,H,H,C,C,C,C,C,C,C,C,C,H,H,H,H,D,D,C,C,C,H,H,H,H,H,H,H,H,H,D,D,H,H,H,H,H,H,H,H,C,H,D,D,D,C,C,C,C,H,H,H,-,H,H,H,H,H,D,C,C,C,C,C,H,H,D,D,C,C,C,H,H,H,H,H,D,D,D,D,D
129,1,1,1.2928,1,2,0,0,1,0,0,0,259,1.964,167,C,C,C,-,D,D,H,H,D,D,D,D,H,D,H,H,-,C,C,C,-,C,C,D,D,D,D,C,C,C,C,H,H,H,D,D,D,D,H,H,D,D,D,D,D,H,D,D,D,D,D,H,H,H,H,H,H,H,C,C,C,C,C,C,H,H,H,H,H,C,C,C,C,H,D,D,D,D,D,H,H,H,H,D,D,D,C,D,D,D,D,D,H,D,D,H,H,H,H,D,C,H,H,H,C,C,C,C,C
130,1,1,1.0131,0,0,0,0,0,0,0,0,160,1.839,91,D,D,D,H,H,H,C,C,C,C,H,H,H,H,D,H,D,D,D,H,D,D,H,H,C,C,C,H,-,H,C,C,-,H,H,H,-,C,C,H,C,C,C,-,H,C,C,H,H,H,C,C,H,H,H,H,H,H,H,H,H,D,C,D,D,D,D,D,D,C,H,D,H,H,H,C,C,C,C,D,D,H,H,H,H,H,H,D,D,D,D,D,D,D,C,C,H,C,C,H,C,C,H,H,D,D,D,D,D
131,1,1,1.5138,1,2,5,0.52,0,4,0,0,189,1.724,137,H,D,D,D,D,D,H,H,H,H,H,H,H,H,H,H,D,H,H,D,D,D,H,H,D,D,D,H,C,C,H,D,D,H,C,C,C,C,H,H,C,C,C,H,D,D,D,D,D,H,H,H,D,D,D,H,H,H,C,C,C,C,D,D,D,H,H,H,C,H,C,C,C,H,H,H,H,H,H,C,C,C,H,H,H,H,H,-,D,D,D,D,C,C,H,-,H,D,D,D,H,D,D,D,C,C,C,C,C
132,1,1,1.475,1,2,0,0,1,0,4,3,236,1.568,199,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,D,D,D,D,C,H,H,H,H,D,D,D,D,H,H,D,H,H,C,C,C,C,C,H,H,C,C,C,H,D,D,H,H,H,D,H,H,H,C,C,H,H,D,D,D,D,D,D,D,H,H,H,H,H,H,C,C,C,C,H,H,H,H,H,H,H,H,H,C,H,H,H,D,D,H,H,H,C,C,C,C,D,C,C,C,H,H,H,-,D,D,D,D,D
133,1,1,1.5651,-,-,-,-,-,-,-,-,186,1.681,138,D,D,D,D,D,D,D,D,D,D,H,H,C,C,C,H,C,H,D,D,C,C,C,C,C,C,D,H,H,H,D,C,C,H,H,H,H,H,H,H,D,H,H,H,C,H,H,D,D,D,D,D,D,D,H,D,D,D,D,D,D,H,D,H,H,H,H,H,H,D,D,H,C,H,-,C,-,C,H,H,-,H,H,H,H,H,C,H,C,C,C,C,-,H,H,H,D,C,C,H,H,H,H,-,C,D,D,D,C
134,1,1,2.2444,0,0,0,0,0,0,0,0,169,1.929,84,C,C,C,H,H,H,H,H,D,D,D,D,D,D,D,H,H,H,H,H,H,H,H,H,H,D,D,H,C,H,H,D,D,D,D,D,D,D,H,H,H,H,H,H,D,H,D,D,H,D,D,D,D,C,C,D,H,H,H,C,C,H,H,H,C,H,H,H,H,C,C,H,H,H,H,D,D,D,D,H,C,C,C,C,H,H,H,H,D,D,D,D,H,D,D,D,H,D,D,D,C,C,C,C,D,D,D,C,C
135,1,1,1.333,0,0,0,0,0,0,0,0,184,1.892,106,D,D,D,H,C,C,H,H,H,H,H,H,H,H,D,D,C,C,C,C,C,C,C,C,C,C,C,H,H,H,C,H,H,H,H,H,H,H,H,H,D,D,D,C,C,H,C,C,C,H,H,H,H,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,D,D,H,C,C,C,C,C,H,C,H,H,H,H,H,D,H,H,H,H,H,H,H,H,D,H,D,D,D,H,C,H,H,H,C,D,D,D,D
136,1,1,1.6569,0,0,0,0,0,0,0,0,162,1.881,86,H,H,H,H,H,H,H,H,H,H,H,-,H,H,D,D,D,D,D,D,H,-,H,H,H,H,H,C,C,H,H,D,H,H,H,H,H,H,H,H,H,C,C,C,H,H,-,C,C,H,H,H,H,H,H,H,H,C,-,C,-,H,D,D,H,H,H,H,H,C,-,C,D,D,D,-,C,C,-,D,H,-,C,H,-,H,H,C,-,H,H,H,D,H,C,C,C,C,C,H,H,H,H,H,D,D,D,D,D
137,1,1,1.6115,1,2,0,0,1,0,3,2,244,1.763,186,H,H,H,C,C,H,H,H,-,H,C,C,H,H,H,H,C,H,H,C,H,-,H,H,D,D,D,D,H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,D,D,D,D,D,D,H,H,H,H,C,H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,H,C,C,C,C,C,H,C,C,C,C,C,C,C,H,H,H,H,D,D,D,D,D,D,D,H,C,C,C,C,C,C,C,C,C,C,C
138,1,1,1.5173,0,1,0,0,0,0,1,2,168,1.959,77,H,H,H,H,H,C,H,H,H,H,H,H,C,C,C,H,H,H,D,D,H,C,C,C,C,H,H,D,D,H,C,H,H,H,H,H,H,H,H,H,C,C,C,C,H,H,H,C,C,H,H,H,H,H,D,H,H,H,H,H,H,H,C,H,H,-,H,D,D,C,C,C,C,H,H,H,H,H,H,H,H,H,C,H,H,H,D,C,C,H,H,H,D,H,C,C,H,H,H,C,C,H,H,H,C,C,D,D,D
139,1,1,1.6691,0,1,0,0,0,0,2,1,513,1.806,449,C,C,C,C,C,C,D,D,H,H,H,H,D,D,D,D,H,H,H,H,H,H,H,H,H,H,D,D,H,H,H,H,C,C,C,C,C,H,H,H,H,H,D,H,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,H,H,H,H,H,H,H,H,H,C,C,H,H,H,H,C,C,H,H,H,H,H,H,C,H,C,C,C,H,H,D,D,D,C,C,C,H,H,H,H,C,H,H,H,H,D,C,C,C,C
140,1,1,1.25,1,2,6,0.23,2,4,0,0,190,1.892,112,D,D,H,H,H,D,H,H,H,C,C,C,C,C,C,C,H,H,H,H,H,H,D,H,H,H,H,D,H,H,H,D,D,D,D,D,D,D,D,D,C,H,H,H,H,H,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,H,D,D,H,D,D,D,D,D,C,C,H,D,H,H,D,D,C,C,H,H,H,C,H,H,H,D,H,H,H,D,D,D,D,D,C,C,C,C
141,1,1,1.6558,1,2,17,2.34,2,4,4,1,211,1.857,139,D,H,H,H,H,H,C,C,C,C,H,H,H,H,H,D,H,C,C,D,C,C,C,H,H,H,H,D,D,H,H,D,D,D,D,D,H,C,C,C,H,H,H,H,D,D,D,D,D,H,H,D,D,D,H,D,C,C,C,C,C,C,H,H,H,C,C,C,C,C,C,C,C,C,-,C,C,C,C,H,H,H,H,H,H,H,H,H,H,C,C,H,H,D,D,H,D,D,H,H,H,H,D,D,D,D,D,D,D
142,1,1,1.7661,0,0,0,0,0,0,0,0,169,1.982,73,H,-,H,C,C,C,C,C,C,C,C,H,D,D,H,H,H,H,H,H,C,H,H,D,D,D,D,H,H,D,D,C,C,D,D,D,D,D,D,D,D,D,D,D,D,H,H,H,H,H,H,H,H,H,H,D,D,H,H,H,H,H,C,H,H,D,D,D,H,H,H,H,D,H,H,C,-,C,C,H,H,D,D,D,H,H,H,D,D,D,H,H,C,C,H,D,H,H,H,H,C,C,C,C,D,D,D,D,D
143,1,1,1.9156,1,2,0,0,3,0,4,0,218,1.748,162,H,C,C,C,C,H,D,D,D,D,D,H,H,H,H,H,D,H,H,D,H,C,C,C,C,H,H,H,H,H,H,C,C,H,H,H,H,C,C,C,H,H,H,H,D,H,H,C,C,D,H,H,C,C,C,H,H,H,D,D,D,H,H,D,D,D,D,D,D,D,D,H,H,C,C,H,D,D,D,D,D,D,H,D,H,H,H,H,H,C,C,C,H,H,D,D,H,H,H,H,C,C,C,H,C,C,C,C,C
144,1,1,1.1532,1,2,0,0,2,0,4,3,150,1.556,114,D,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,C,C,D,D,H,C,C,C,H,H,C,H,H,H,H,H,C,C,C,C,C,C,D,D,D,D,H,H,H,H,H,H,D,D,D,D,H,H,H,D,D,D,H,H,H,D,D,D,D,D,D,H,C,C,C,D,D,H,H,H,C,D,H,H,H,H,H,H,C,H,C,C,C,H,C,C,C,C,H,-,H,H,C,C,C,-,-,C,C,C,D
145,1,1,1.3348,1,2,0,0,3,0,4,3,221,1.898,142,H,H,H,H,H,D,D,D,D,D,H,H,H,H,H,H,H,H,-,D,H,H,H,H,D,D,D,H,H,H,H,H,H,D,D,D,D,H,H,H,D,D,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,H,D,D,D,D,D,H,H,H,H,H,C,C,C,H,H,C,C,C,H,H,D,C,C,C,H,H,H,H,D,H,-,C,H,H,D,D,D,D,D,D,H,D,D,D,D,C
146,1,1,1.8763,1,2,0,0,1,3,3,1,213,1.944,126,C,C,C,H,D,C,H,H,H,H,-,H,H,D,D,D,H,D,D,D,H,H,H,H,H,H,C,H,H,D,D,D,D,H,C,C,C,C,-,C,H,H,H,H,H,D,D,D,C,C,H,-,H,H,H,H,H,C,H,H,H,H,C,C,C,H,H,H,H,H,H,H,H,C,C,C,C,C,C,H,H,H,C,C,C,C,H,C,C,H,H,D,H,H,D,D,C,-,H,H,H,H,H,H,-,D,D,D,D
147,1,1,1.3678,0,0,0,0,0,0,0,0,167,1.929,82,H,H,C,C,H,H,C,C,-,H,H,H,H,H,H,H,C,C,H,H,H,H,D,D,D,H,H,D,D,D,H,C,C,C,H,H,H,H,H,H,C,C,C,H,H,D,H,H,H,H,C,C,C,C,C,-,H,H,H,H,H,H,H,D,D,D,D,D,D,H,H,H,H,H,H,C,C,C,C,C,C,H,H,C,C,C,D,H,C,C,C,C,D,D,D,D,C,C,H,H,D,D,D,D,C,C,C,C,C
